year,state,state_code,region,income_under_1k_pct,income_1k_3k_pct,income_3k_5k_pct,income_5k_10k_pct,income_above_10k_pct,b40_share_pct,m40_share_pct,t20_share_pct,affluence_index
2018,Johor,MY-01,Southern,5.8,42.4,26.4,18.8,6.6,74.6,18.8,6.6,25.4
2018,Kedah,MY-02,Northern,12.3,53.0,18.4,12.9,3.4,83.7,12.9,3.4,16.3
2018,Kelantan,MY-03,East Coast,11.8,50.0,17.9,15.0,5.3,79.7,15.0,5.3,20.3
2018,Melaka,MY-04,Southern,5.0,41.3,32.0,16.8,4.9,78.3,16.8,4.9,21.7
2018,Negeri Sembilan,MY-05,Central,10.4,46.6,23.8,14.9,4.3,80.8,14.9,4.3,19.2
2018,Pahang,MY-06,East Coast,7.2,42.5,23.5,18.3,8.5,73.2,18.3,8.5,26.8
2018,Perak,MY-08,Northern,8.8,50.2,23.0,15.3,2.7,82.0,15.3,2.7,18.0
2018,Perlis,MY-09,Northern,12.1,49.5,19.1,14.2,5.1,80.7,14.2,5.1,19.3
2018,Pulau Pinang,MY-07,Northern,6.1,40.4,28.1,20.7,4.699999999999999,74.6,20.7,4.7,25.4
2018,Sarawak,MY-13,East Malaysia,17.7,45.4,20.2,13.6,3.1,83.3,13.6,3.1,16.7
2018,Selangor,MY-10,Central,3.4,37.5,27.8,22.4,8.9,68.7,22.4,8.9,31.3
2018,Terengganu,MY-11,East Coast,13.4,47.4,20.4,14.1,4.7,81.2,14.1,4.7,18.8
2018,W.P. Kuala Lumpur,MY-14,Central,3.8000000000000003,34.9,26.4,23.8,11.1,65.1,23.8,11.1,34.9
2018,W.P. Labuan,MY-15,East Malaysia,0.4,40.4,23.7,29.1,6.4,64.5,29.1,6.4,35.5
2018,W.P. Putrajaya,MY-16,Central,5.3999999999999995,15.9,20.5,48.0,10.2,41.8,48.0,10.2,58.2
2019,Johor,MY-01,Southern,5.37955368328514,30.9081249094093,30.7353592340133,22.5719635295115,10.4049986437807,67.02,22.57,10.4,32.97
2019,Kedah,MY-02,Northern,7.78177861791491,37.0369116657779,23.9353783762141,25.0885600587883,6.15737128130484,68.75,25.09,6.16,31.25
2019,Kelantan,MY-03,East Coast,10.7231711454334,38.3806722614052,19.3525158467994,23.3035764663869,8.240064279975,68.46,23.3,8.24,31.54
2019,Melaka,MY-04,Southern,3.48193197533908,26.7622399842104,35.8497111989063,27.2159348730196,6.69018196852463,66.09,27.22,6.69,33.91
2019,Negeri Sembilan,MY-05,Central,3.99746280478386,34.8626726656654,30.5135300645583,24.0954340345676,6.53090043042487,69.37,24.1,6.53,30.63
2019,Pahang,MY-06,East Coast,3.9215996788048,31.3867705396555,28.91392145529,27.9755247018954,7.80218362435438,64.22,27.98,7.8,35.78
2019,Perak,MY-08,Northern,7.54601678229016,38.680231049074,25.4855865775753,21.2534227273354,7.03474286372515,71.71,21.25,7.03,28.28
2019,Perlis,MY-09,Northern,16.4098195825572,36.8385596795454,21.5147733123435,16.6776288301305,8.55921859542338,74.76,16.68,8.56,25.24
2019,Pulau Pinang,MY-07,Northern,2.95634056594818,27.2682511581698,27.9184956094432,29.8458451724195,12.0110674940194,58.14,29.85,12.01,41.86
2019,Sabah,MY-12,East Malaysia,11.7109227679128,38.9000947507348,20.2170368894953,22.8565429198491,6.31540267200795,70.83,22.86,6.32,29.18
2019,Sarawak,MY-13,East Malaysia,7.60373151023871,41.9278554868728,25.5872113032273,20.3117214348409,4.5694802648203,75.12,20.31,4.57,24.88
2019,Selangor,MY-10,Central,2.60382616069517,26.0411187900026,26.8627606647902,31.2084597482342,13.2838346362779,55.51,31.21,13.28,44.49
2019,Terengganu,MY-11,East Coast,7.26915341899137,42.534029179019,20.7556496704728,21.2096085794575,8.23155915205925,70.56,21.21,8.23,29.44
2019,W.P. Kuala Lumpur,MY-14,Central,3.52879569703566,27.8021879006838,28.7378044159899,30.2765639433334,9.65464804295726,60.07,30.28,9.65,39.93
2019,W.P. Labuan,MY-15,East Malaysia,0.0970840123435387,41.2383412503034,26.0275302520717,19.7591418466766,12.8779026386048,67.36,19.76,12.88,32.64
2019,W.P. Putrajaya,MY-16,Central,0.0,19.9008803643421,25.1971019122152,37.0906112216205,17.8114065018222,45.1,37.09,17.81,54.9
2020,Johor,MY-01,Southern,1.73948980876655,18.7499151750588,23.1624979685907,38.1718407253619,18.176256322222,43.65,38.17,18.18,56.35
2020,Kedah,MY-02,Northern,6.3107818080621,38.1634418873927,25.4030262851053,23.3731978035002,6.74955221593968,69.88,23.37,6.75,30.12
2020,Kelantan,MY-03,East Coast,8.47076044773175,40.5378941302678,23.8656289734493,19.5345764677549,7.59113998079622,72.87,19.53,7.59,27.12
